instituicao;id_municipio;valor_total;valor_gasto_hospital;perc
Prefeitura Municipal de Altair - SP;3500907;26538013,84;1739137,43;6,55338202958749e+00
Prefeitura Municipal de Altamira - PA;1500602;332911629,06;43392026,63;1,30340975929620e+01
Prefeitura Municipal de Altamira do Maranhão - MA;2100402;24853520,14;NA;NA
Prefeitura Municipal de Altamira do Paraná - PR;4100459;21627001,85;2593723,01;1,19929846401710e+01
Prefeitura Municipal de Altaneira - CE;2300606;30871427,13;2008912,31;6,50735160878842e+00
Prefeitura Municipal de Alterosa - MG;3102001;42762406,81;5752574,47;1,34524104210494e+01
Prefeitura Municipal de Altinho - PE;2600807;54063555,81;4711146,37;8,71408900028102e+00
Prefeitura Municipal de Altinópolis - SP;3501004;76132285,87;9460667,44;1,24266168181980e+01
Prefeitura Municipal de Alto Alegre - RR;1400050;47186017,54;1533790,09;3,25051820425361e+00
Prefeitura Municipal de Alto Alegre - RS;4300554;15008517,09;164875,41;1,09854563919479e+00
Prefeitura Municipal de Alto Alegre - SP;3501103;20822010,89;4804374,04;2,30735353342234e+01
Prefeitura Municipal de Alto Alegre do Maranhão - MA;2100436;68146593,95;107665,50;1,57991021648119e-01
Prefeitura Municipal de Alto Alegre do Pindaré - MA;2100477;138273807,21;1557211,89;1,12617994790222e+00
Prefeitura Municipal de Alto Alegre dos Parecis - RO;1100379;44196524,33;5959599,40;1,34843169012607e+01
Prefeitura Municipal de Alto Araguaia - MT;5100300;93628507,59;13979575,14;1,49308960484735e+01
Prefeitura Municipal de Alto Bela Vista - SC;4200754;17531940,64;NA;NA
Prefeitura Municipal de Alto Boa Vista - MT;5100359;34978132,33;404051,31;1,15515404364073e+00
Prefeitura Municipal de Alto Caparaó - MG;3102050;21246204,73;881675,17;4,14980078185475e+00
Prefeitura Municipal de Alto Feliz - RS;4300570;19805229,80;NA;NA
Prefeitura Municipal de Alto Garças - MT;5100409;45387196,79;8235364,75;1,81446868994881e+01
Prefeitura Municipal de Alto Horizonte - GO;5200555;103608513,51;3050,00;2,94377353431060e-03
Prefeitura Municipal de Alto Jequitibá - MG;3153509;19996902,60;576403,21;2,88246245696071e+00
Prefeitura Municipal de Alto Longá - PI;2200301;35585426,71;8451110,68;2,37487968006440e+01
Prefeitura Municipal de Alto Paraguai - MT;5100508;25741049,41;3188279,79;1,23859743991688e+01
Prefeitura Municipal de Alto Paraná - PR;4100608;50082623,25;2662947,14;5,31710794521930e+00
Prefeitura Municipal de Alto Paraíso - PR;4128625;26719870,21;2056143,73;7,69518606879491e+00
Prefeitura Municipal de Alto Paraíso - RO;1100403;50058413,83;2841419,94;5,67620849843456e+00
Prefeitura Municipal de Alto Paraíso de Goiás - GO;5200605;31786887,37;2511977,61;7,90255925583569e+00
Prefeitura Municipal de Alto Parnaíba - MA;2100501;45735025,18;8973854,71;1,96214054210782e+01
Prefeitura Municipal de Alto Piquiri - PR;4100707;36349049,92;1720813,66;4,73413655594110e+00
Prefeitura Municipal de Alto Rio Doce - MG;3102100;31596794,33;3136190,40;9,92566007565616e+00
Prefeitura Municipal de Alto Rio Novo - ES;3200359;28586930,68;NA;NA
Prefeitura Municipal de Alto Santo - CE;2300705;52345835,81;5773684,59;1,10298832765930e+01
Prefeitura Municipal de Alto Taquari - MT;5100607;74559476,53;10339228,38;1,38670882108995e+01
Prefeitura Municipal de Alto do Rodrigues - RN;2400703;90450853,15;4327906,89;4,78481599595614e+00
Prefeitura Municipal de Altos - PI;2200400;110538281,42;5758073,25;5,20912137951710e+00
Prefeitura Municipal de Altônia - PR;4100509;60098746,49;9559735,05;1,59067128822573e+01
Prefeitura Municipal de Alumínio - SP;3501152;81844471,18;12977371,33;1,58561368201145e+01
Prefeitura Municipal de Alvarenga - MG;3102209;19179288,16;2483967,07;1,29512995960951e+01
Prefeitura Municipal de Alvarães - AM;1300029;57754624,21;NA;NA
Prefeitura Municipal de Alvinlândia - SP;3501509;16153644,48;NA;NA
Prefeitura Municipal de Alvinópolis - MG;3102308;40322633,49;2732195,98;6,77583715031307e+00
Prefeitura Municipal de Alvorada - RS;4300604;402318533,76;14478824,48;3,59884600510033e+00
Prefeitura Municipal de Alvorada - TO;1700707;35413769,02;NA;NA
Prefeitura Municipal de Alvorada D'Oeste - RO;1100346;43919065,43;1122114,18;2,55495914818240e+00
Prefeitura Municipal de Alvorada de Minas - MG;3102407;30708936,60;2064233,86;6,72193207758291e+00
Prefeitura Municipal de Alvorada do Gurguéia - PI;2200459;20988472,82;NA;NA
Prefeitura Municipal de Alvorada do Sul - PR;4100806;50778011,73;5579149,93;1,09873343597339e+01
Prefeitura Municipal de Além Paraíba - MG;3101508;87165016,70;9396530,15;1,07801621633831e+01
Prefeitura Municipal de Amajari - RR;1400027;22840955,75;395132,40;1,72992936164679e+00
Prefeitura Municipal de Amambai - MS;5000609;167891505,65;12927525,08;7,69992801598298e+00
Prefeitura Municipal de Amaporã - PR;4100905;22340637,33;3046207,51;1,36352757757247e+01
Prefeitura Municipal de Amapá - AP;1600105;24553799,59;NA;NA
Prefeitura Municipal de Amapá do Maranhão - MA;2100550;25298725,94;1614025,22;6,37986760213902e+00
Prefeitura Municipal de Amaraji - PE;2600906;66311047,08;7962424,04;1,20076885988452e+01
Prefeitura Municipal de Amaral Ferrador - RS;4300638;20859016,10;20093,97;9,63323001606006e-02
Prefeitura Municipal de Amaralina - GO;5200829;16961928,67;3696175,58;2,17910100431993e+01
Prefeitura Municipal de Amarante - PI;2200509;55696169,27;154671,12;2,77705131299419e-01
Prefeitura Municipal de Amarante do Maranhão - MA;2100600;105656122,41;1791497,39;1,69559259713135e+00
Prefeitura Municipal de Amargosa - BA;2901007;85946134,52;12101548,03;1,40803866253972e+01
Prefeitura Municipal de Amaturá - AM;1300060;35111035,46;8516015,83;2,42545277244865e+01
Prefeitura Municipal de Americana - SP;3501608;786986057,91;125513231,09;1,59485965257537e+01
Prefeitura Municipal de Americano do Brasil - GO;5200852;11587275,39;624704,28;5,39129570130981e+00
Prefeitura Municipal de Ametista do Sul - RS;4300646;28970453,48;NA;NA
Prefeitura Municipal de Amontada - CE;2300754;131917789,00;10318978,79;7,82227997317329e+00
Prefeitura Municipal de Amorinópolis - GO;5200902;17986894,09;1060261,89;5,89463575364834e+00
Prefeitura Municipal de Amparo - PB;2500734;16364591,95;1021566,61;6,24254251570263e+00
Prefeitura Municipal de Amparo - SP;3501905;299072848,55;50461343,73;1,68725927394120e+01
